id	text	label
3679	দেশের আইন এর অবস্থা খারাপ হলে যা হয়	None
3680	কৃষ্ণে করলে লিলাখেলা আম পাবলিক করলে দোষ	None
3681	সাংবাদিকের আত্তার মাগফিরাত কামনা করছি	Abusive
3682	মাশরাফি যদি বিসিবি সভাপতি হয় বাংলাদেশ ক্রিকেট বোর্ডে অসংখ্য উন্নত হবে	None
3683	কুত্তা সেভেন ও কুত্তা আরব	Profane
3684	এই স্যারেরে ছাদের জুতা দিয়ে পিটিয়ে মুখের দাঁড়ি কেটে দিয়ে পাচায় জুতা মেরে মাথার চুল কেটে মুখে আলকাতরা মেখে বাজারে বাজারে ঘুরানো হোক	Profane
3685	স্বৈরাচার সরকার নিপাক যাক	Political Hate
3686	তোমার বেইল নাই চান্দু	Abusive
3687	বাস মনিব অসত্য কথা বলে শালা শুয়োরের ছা	Profane
3688	জুতা মার ভোটচোরদের	Abusive
3689	ভালো অনেক আয় হচ্ছে এখন এই আয় জনগণের কল্যাণে লাগাতে হবে	None
3690	আপনি সাংসদ হবেন আমি নিশ্চিত	None
3691	শান্তি নয় অশান্তি ছড়াচ্ছে	Abusive
3692	ড ইউনুস একটা দালাল এটা তার আরো একটা বড় প্রমাণ	Abusive
3693	রেলপথে পথে চাঁদপুর যাওয়া যায় সেখানে দিয়ে রাখছে ঈদ স্পেশাল ট্রেন৷ যেখানে নৌপথে যাওয়া যায় না সেখানে নেই কোন ঈদ স্পেশাল ট্রেন এরকম হটকারী সিদ্ধান্তের তীব্র নিন্দা ও প্রতিবাদ জানাই সেই সাথে অনুরোধ জানাই সিরাজগঞ্জ টু বগুড়া ডুয়েল গেজ সিঙ্গেল রেল লাইন দ্রুত বাস্তবায়ন করার৷	None
3694	অন্তরা চাহনিটা মাগির মতো	Sexism
3695	এই জাতের আমচারা লাগলে যোগাযোগ করতে পারেন	None
3696	ভালোভাবে তদন্তের প্রয়োজন	None
3697	এই সমস্ত বেশ্যার পুত সাংবাদিকরা আর্জেন্টিনা হাত দিয়ে গোল করলে বলে হ্যান্ড অব গড মাঠের মধ্যে জঘন্যতম অপরাধ ঘুমের ওষুধ খাইয়ে দিল আর সেটার নাম দিয়েছে হলি ওয়াটার	Profane
3698	হারুন্নেয়া তরে বাগা দেওয়া হবে ইনশাসৃষ্টিকর্তা সময়ের অপেক্ষা	None
3699	আলহামদুলিল্লাহ আমরা তত্ত্বাবধায়ক সরকার চাই এই তফসিল মানি না মানব না ইনশাসৃষ্টিকর্তা	None
3700	আলহামদুলিল্লাহ ৯ টা কাফের মরেছে	Religious Hate
3701	টাকার খেলা চলেছে এই সমাবেশ উপলক্ষে	None
3702	আরে ভাই শেয পয়জায়ে কেয়ামত সৃষ্টিকর্তা রাসুলের পথে এসুন এগুলি মুসলিমদের শুনার সময় নাই	None
3703	হয় বিজ্ঞাপন দেখাও না হয় সংবাদ দেখাওফাইজলামি মারাইওনা	Abusive
3704	তোমার কতা পুলিশ মানেনা	None
3705	সবাই বয়কট করুন সময় টিভি	Abusive
3706	তাহলে ওটা ওর কাজ মনে হয় অন্য মানুষের দারা করাইছে ওর শাস্তি চাই	Abusive
3707	সালা দালাল মিডিয়া কে কে বরিয়ে গেছে তাদের সন্ধান দে এবং তাদের ডিটেইলস দে	Profane
3708	এদের কে আইনের আওতায় এনে যাবজ্জীবন কারাদণ্ড দেওয়া উচিত	None
3709	বিসফলতা হবেই এরদোগানের ইনশাসৃষ্টিকর্তা	None
3710	এটা নতুন কিছু না এরা ২০০৯ এ সম্পর্ক ছিন্ন করে ২০২০ এ আবার সম্পর্ক স্থাপন করে আবার ছিন্ন করছে লল এটায় বিন্দুমাত্র প্রভাব পরবে না কাজের কাজ হবে সৌদি ইজরায়ল সম্পর্ক স্থাপন হলে শান্তি ফিরে আসবে	Abusive
3711	শ্রীলংকার কথা মনে পড়ে গেলো	None
3712	নাইছ ভিডিও ভাই	None
3713	একটু চেষ্টা করে দেখো এ বিষয়ে বিএনপিকে ফাঁসানো যায় কিনা	Political Hate
3714	সফলতা বাংলা শেখ হাসিনার সালাম নিন নৌকা মার্কায় ভোট দিন ওমান প্রবাসী	None
3715	জিম্বাবুয়ের সাথে সব ম্যাচ হারবে ্	None
3716	দাদারা দিলে তো ফুটকি পাইরা গেল নিতে হবে কারণ দাদারা দিতে আছে না তো করলে দাদাদের থেকে পুটকির ফাইটা রক্ত বাইর হইয়া যায় তারপরও আনবে কারণ দাদারা দিতে আছে হিন্দুস্তানের দাদা দাদার কথা শুনলে তো কুকুর লীগের মাগির ছাদের মাথা সই থাকে না মা বোনদের বোদা দিয়ে রাখে তার কাদার ওই পাশে বিয়ের আগে শুধু মুক্তা	Sexism
3717	এই ইহুদির ছাদের অভ্যাস এরকম বিপদে পড়লে মুসলিমদের কাছে আসবে আর বিপদ কেটে গেলে বাঁশ দিবে	Religious Hate
3718	এই কথা বইলা সব কিছুর দাম বাড়াইয়া দিতাছে	Abusive
3719	চুন্নু একজন বাটপার ও দালাল	Abusive
3720	আমারও মোবাইল ১মাস আগে হারিয়ে যায় জিডি করছি এখনও পাইনি	None
3721	কে কে শেষ নবীকে ভালোবাসেন	None
3722	যুদ্ধ চলছে মিয়ানমারে সব জ্বালা বাংলাদেশের	None
3723	ধোর হাসিনার দালালের মারে চুদি চোরের ছা	Profane
3724	ভালো লাগে দেখতে	None
3725	উনি বলতে চাচ্ছেন যে রোগী দেখতে গেলে এক কেজি আমড়া নিয়ে যেও	None
3726	পৃথিবীর মুসলিম একহও	None
3727	বাংলাদেশ জামাত শিবির জিন্দাবাদ	None
3728	বাংলা টাইগার্স বোর্ড কর্তাদের কে বলছি সাকিবকে ছাড়া আপনারা দল বানান অনেক ভালো হবে বাংলাদেশের আরো বেশ ভালো ভবিষ্যৎ প্লেয়ার আছে পাওয়ার হিটিং তরুণ ক্রিকেটার যেমন আফিফ শামীম মোসাদ্দেক নাঈম শেখ রনি তালুকদার এনামুল হক বিসফলতা শেখ মেহেদি সাইফুদ্দিন আরিফুল হক শরিফুল মোস্তাফিজ তানজিদ সাকিব এগুলা তো সব সব প্লেয়ার এগুলাকে নিয়ে দল করা বেছে নিন ভালো হবে	None
3729	গালাগালি দেওয়া বাংলাদেশী গুলা কই	None
3730	কুকি চীন দের গন কবর দেওয়া উচিত	Abusive
3731	বেশ্যা হত্তুন তুই একটা পালতু বেডি	Profane
3732	আওয়ামী লীগ এর শুধু একটা ব্যার্থতাকে যদি পাশে রাখি সেটা আছে মূল্যস্ফিতি নিয়ন্ত্রণ করতে না পারা গত ১৫ বছরে বাংলাদেশের চেহারাই পাল্টে দিছে শেখ হাসিনার মতো সাহসী নেতৃত্ব বলেই সম্ভব যতদিন শেখ হাসিনা আছে ততদিন সরকার পরিবর্তন না হওয়াই ভালো কারণ আর যারা আছে কেও সরকার গঠন করার মতো না বিএনপি তো একেবারেই না শালারা জনগণের কাছে না গিয়ে বিদেশিদের পা চেটে বেড়াচ্ছে	Political Hate
3733	নগদ অ্যাড এর মায়রে	Profane
3734	খেলা বোঝেন না উল্টাপাল্টা নিউজ করে বসে থাকেন হসারাঙগা কি বোলার হলো নাকি অর স্টোয়নিস যে খেলা খেলছে তাতে স্পিনার পেসার কোন বিষয় না স্যান্টানার শোদী রাশিদ খান মুজিব নবির বোলিং দেখে আসেন	Abusive
3735	ছাত্রলীগের ও পুলিশ মিলে এ ​আক্রমণ করেছে	Abusive
3736	নরেন্দ্র মোদি স্টেডিয়াম এর ভার্সন	None
3737	মুসলিম দেশ সমূহ এক হয়ে ইসরাইলের উপর ​আক্রমণ করে ওদেরকে পৃথিবীর থেকে বিলুপ্ত করে দেওয়ার দাবি জানাচ্ছি	None
3738	মুখ শুকিয়ে গেছে টেনশনে	None
3739	ওরা ইজরায়েলের পাশে দাড়ায় ওরা যে কতটা ভালো উহা বিএনপি এখনো বুঝতে পারে নাই যখন টুইন টাওয়ারের উপরে উঠিয়ে ধাক্কা মেরে ফেলে দিবে তখন বুঝবে এজেন্ট ওরা	Political Hate
3740	এই ভিডিওটা ওয়াহিদ ভাইয়ের বাসায় শুট করা হয়েছে	None
3741	আলহামদুলিল্লাহ এতদিন পরে একটা ভালো কাজ করল সরকার সৃষ্টিকর্তাু আকবর লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ স আমিন	None
3742	আব্বুরা ওনার আব্বু কজন ভাই	None
3743	টাকা আছে আপনার নেতা দের ঘরে	None
3744	এই নিউজ করতে বাংলাদেশের পত্রিকা গুলা অর্থাৎ তাদের ভাসুরের নাম নিতে লজ্জা পায়	None
3745	লর্ড দেখে শুনে আজকেই পালিয়েছে	Abusive
3746	৭ টা বোকা ৯টা	None
3747	আলহামদুলিল্লাহ দোয়া করি বাবা ছেলে যেন চির দিন বেঁচে থাকে	None
3748	রানীর সম্মানে আজ অনিচ্ছা সত্বেও বিসফলতা সরণিতে ঘণ্টা দাড়ায় সিলামসোনার বাংলাদেশ	None
3749	বিশ্বসেরা নির্বাচক তাই১২বছর যাবাৎ দায়িত্ব রেয়েছে যা অন্যকোনো দেশে নাই	None
3750	শুরু আছে দেশে	None
3751	এত লুটপাট করেও আরো লুটপাট করতে একখনও চেয়ার চেপে বসে আছে লজ্জা নেই এদের মানি পেলেই হয় শুধু আর কিছু লাগে না	Abusive
3752	ইমরান খান যোগ্য রাষ্ট্রপ্রধান ছিলেন কিনা তা নিয়ে আলোচনা করতে চাই না তার সরকার তাদের নিজস্ব চিন্তা চেতনার ভিত্তিতে তাদের সিদ্ধান্তগুলিকে ন্যায্যতা দিয়েছে বিরোধী দলগুলোর চিন্তা ইমরান সরকারের সিদ্ধান্ত ভুল এবং তাদের উপর নির্যাতন চালাচ্ছে আমি বলব উভয়ই নিজ নিজ জায়গায় সঠিক তবে গণতান্ত্রিক দেশে সকল সরকার কিছু বছরের জন্য স্থায়ী হবে এটাই গণতন্ত্রের মৌলিক নিয়ম কারণ দেশ সবার সকল নাগরিকের অধিকার সুস্থ নির্বাচনের মাধ্যমে দেশ পরিচালনা করার এবার পাকিস্তানের বিচার বিভাগের স্বাধীনতা প্রমাণ করেছে যে পাকিস্তানে এখনও গণতন্ত্রের সামান্য গন্ধ পাওয়া গেছে যা বিশ্বের অনেক দেশেই বিরল	None
3753	টাকা খাইয়ে কয়েক দিন পরে ছেরে দিও	None
3754	বাড্ডার সাতারকুলে ৪৫০০ এর বেশী আসবাবপত্র কারখনা আছে যা অতিরিক্ত ঝুঁকি নিয়ে দিন চলছে যেখানে রয়েছে উচ্চ ক্ষমতা সম্পন্ন রাসায়নিক দ্রব্য যা আগুন কে আরও বৃদ্ধি করতে সাহায্য করে	None
3755	নিজের দেশে বর্ণবাদ হয় অন্যের দেশ নিয়ে পড়ে আছেহলুদ	None
3756	এই মানুষগুলা কী আসলেই মানুষ একটা ছোট নৌকায় এতগুলা লোক কিভাবে উঠে মাঝি কি বেঁচে আছে মরেও যদি থাকে তাহলে তাকে ২০ টা লাত্থি মারা দরকার এতগুলো লোক কেন নিয়েছিস বলে বলে	None
3757	বাহ পুলিশ তারা আইন নিজের হাতে তুলে নিলো আজব দেশ	Abusive
3758	বলেছেন বয়স ২১ বছর তাহলে বিয়ে করেছে ১৪ বছরে	None
3759	এই মহিলা চরিত্রহীন	Abusive
3760	ডিজিটাল বাংলাদেশ হলো চালের কেজি ৬০ টাকা আর তেলের লিটার ২০০ টাকা আর স্মার্ট বাংলাদেশ হয়েছে পোল্ট্রি মুরগী ২৫০ টাকা	None
3761	বাটপারি কত প্রকার তা মিডিয়া না দেখলে বুঝা বড় দায়	Abusive
3762	খালেদা জিয়াকে ঠেলাঠেলি করে মেরে ফেলবে সরকার	Abusive
3763	এখন পাট শাকের দাম কয়েকগুন বেড়ে যাবে	None
3764	মিলটারি ভাই এই সুযোগে দুই চারটা কোদন দিয়া ক্ষমতাটা দখল নিয়া নেন আপনারা শক্তিশালী মিয়ানমারের মত এগিয়ে যান	None
3765	বিটু বড়ুয়ার কথা স্পষ্ট নয় তাকে চেঞ্জ করুন	Abusive
3766	চোরে খালাতো ভাই	Abusive
3767	এবারই সুযোগ গরীব পাকিস্তানের ক্ষমতা লোভী লুটেরাজ অসভ্য ধনী সেনাবাহিনীকে সাইজ করে দিক পাকিস্তানের ইতিহাসে সবচেয়ে জনপ্রিয় নেতা ইমরান খানকে ক্ষমতা লোভী সেনাবাহিনীরা কোনটাসা করে রেখেছে যেভাবে বাংলাদেশের জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানকে কোনটাসা করে রেখেছিল দেশে কোন আইনের শাসন নেই সেনাবাহিনী সকল প্রশাসনকে ভাগ বাটোয়ারা দিয়ে নিজেদের মতো করে দেশের কলকাটি নাড়ে জনগনের টাকা পয়সা তারা নিজেরাই ভাগ করে খাই পাকিস্তানের ইতিহাসে কোন রাজনৈতিক দল ক্ষমতার মেয়াদ পুর্ণ করতে পারেনি এই সালা সেনাবাহিনী আমেরিকার গোলাম তাবেদার	Profane
3768	রোহিঙ্গাদের পাসপোর্ট দিলে আগুন জ্বলবে দেশে	Abusive
3769	এখন সময় এ জোট কে এগিয়ে নিয়ে যাওয়ার	None
3770	সব চরমপন্থী কি নির্বাচনের আগে আত্মসমর্পণ করে এই নাটক এখন সবাই বুঝে	Political Hate
3771	এটা শুধু রাজবাড়ীতেই না অনেক খানেই এরকম ঘটেছে	None
3772	আপুআগে ভোটচোরদের দল ছাড়েনচোরের মুখে নীতিবাক্য মানায়না	Political Hate
3773	সব কুচের শেষে ৫০ হাজার মার্কিন ডলার আছে এটা বুঝলাম না	None
3774	আওয়ামী লীগ মানেই দুর্নীতিবাজভোট ডাকাত ব্যাংক ডাকাতের ইসলাম বিদ্বেষী নাস্তিক সন্ত্রাসীদের দল	Political Hate
3775	আচ্ছা লা মু আলাইকুম হারুন ভাই আপনাকে কৃতজ্ঞতা	None
3776	ঐশ্বরিয়া এত দিন পর সালমান খানের প্রেম বুঝতে পারছে যে তার জন্য এখনো বিয়ে করেনি৷ তাই মনে হয় তার কাছে ফিরে যাবে	None
3777	আমি কিনতে চাই	None
3778	হয়ে গেছে তারপরও পার্লামেন্টের ক্যামেরা কোয়ালিটি বাজে	Abusive
3779	এত বড় বিপদ থেকে আসছে অথচ মাথায় কাপড় নাইমরলেও মানুষ হবি ন	Abusive
3780	সফলতা বিজেপি সফলতা মোদি	None
3781	অভিযান এতদিন করে নাই কেন যখন শুনছে বিএনপির জনসভা ডিসেম্বর থেকে শুরু করছে অভিযান	Abusive
3782	হাসু রাস্ট্রদুত কোথায় গেছে	None
3783	পাকিস্তান ভারতে আসবে এবং খেলবে তাও এর তে এগুলো আছে তার আগের নাটক মাত্র	None
3784	কাদিরাকে একটু ভিটামিন খাওয়া ন প্রওজন কথা বলতে কস্ট হচ্ছে	None
3785	আগে তুমি ক্রিকেটের দায়িত্ব ছাড় যত সব উল্টা পাল্টা কাজ করতেছো দ্রুত তামিমকে আনা হোক আর মাহমুদুল্লাহ রিয়াদ কে যথাযথ মান দেওয়া হোক	Abusive
3786	বালের হুমকি দেয় আর আমগো পুটকির নাতি মিডিয়ারা তাই প্রচার করে ভিউ বাড়ানোর জন্য	Profane
3787	মায়ের কান্নার সংগঠন ভুয়া	Abusive
3788	তোমরা বাসায় বসে ললিপপ খাও	None
3789	সময় টিভি বিক্রি হইয়া গেছে নিক্সন এর কাছে	None
3790	আপনে বুঝলেন কীভাবে	None
3791	হাসিনার গু পারাইছে নাকি	Abusive
3792	এই একই বাজনা কত ভিডিও ইউজ করবেন আপনারা সময় সংবাদ এর কি আর কোন বাজনা নেই	Abusive
3793	২ রাত ঘুমাওনি আহারে ২ রাত না ঘুমালে মানুষ দারিয়ে ঘুমিয়ে পড়ে আর তুমি কি চাপা মারলা চাপা মারলেও কোন পদ বা সরকারি জব মিলবেনা গো ভুত বালিকা তোমার চোখ গুলা আহট ভুতের মত	Abusive
3794	এমন অবস্থা থেকে আমাদের সবাইকে রক্ষা করো ছেলেটিকে সুস্থতা দান করো তার বাবাকে হেদায়েত নসিব	None
3795	প্রিগোজিন এমন একটা ভূল করেছে যেখানে পুতিনের ক্ষমা করা অসম্ভবযদি কঠিন একটা উদাহরন দেই তাহলে বুঝবেনআল্লার সাথে ভূল করলে সৃষ্টিকর্তা মাফ করবেনকিন্তু বান্দার হক নষ্ট করলে আল্রা মাফ করবেন নাব্যাপার টা কিছুটা সেই রকমভূলটা করছিল পুরো রাশিয়ার সেনা বাহিনীর বিরুদ্ধেযেখানে পতিন অসহায়পরো সেনা বাহিনীর বিরুদ্ধে যাওয়া কোন রাষ্ট্র প্রধানের পক্ষে অসম্ভব	None
3796	এটা খুবই দুখজনক ঘটনা কিন্তু বেড়াল হয়ে বাঘ সেজে ঘুরা উচিত হয় না	Abusive
3797	পুতিন মানেই অবিশ্বাস্য কে জয় করা একজন হিরো এবং সে একাধিকবার তা প্রমাণ করছে আমার দৃষ্টিতে জাতীয় শিক্ষা বই পুস্তকে পুতিনের জীবনী রাখা উচিৎ	None
3798	বাংলাদেশের আগামীতে ভবিষ্যৎ হবে হৃদয় ভাই	None
3799	দেশ বাঁচাও শেখ হাসিনাকে হটাও চুরেরা খাচ্ছে দেশ সোনার বাংলাদেশ	Political Hate
3800	রেগুলার গাড়ি গুলা দেইখাই সাম্বাদিক এর মাথা খারাপ দামি গুলো দেখলে কি হইতো	Abusive
3801	গাজা খেয়ে নিউজ করেন নাকি	Abusive
3802	ভাই পাকিস্তনে ১ পিছ বোম মারা ইচিত তাহলে সব ঠিক হয়ে যাবে	None
3803	তুই পদা সেতু নিয়ে বসে থাক	None
3804	বাংলাদেশের দুইটা নাস্তিক চ্যানেল আছে	Abusive
3805	পাগলইংল্যান্ডের সাথে না ৮৬ পৃথিবী কাপে জার্মানির সাথে ফাইনাল খেলেছে	Abusive
3806	ইমরান খানের উচিত শেখ হাসিনার কাছ থেকে পরামর্শ নেওয়া	None
3807	শুভেচ্ছা সাংবাদিক ভাইকে ক্যাপ্টেন কামিংস শের অবদান বলার জন্য	None
3808	সৃষ্টিকর্তা্ তায়ালার সবাইকে ভয়াবহ আগুন থেকে হেফাজত করুন	None
3809	এমপি গোলাপকে নিয়ে সময় টিভির কোন রিপোর্ট দেখছি না সময় টিভি রেডি থাকো	None
3810	এমন মেডিসিন দিছেন যে কিছু বলতে পারে নাআবু তোহা আদনানের গোপন কাহিনি	Abusive
3811	এতো চোরের মাঝে একজন ভালো প্রধানমন্ত্রী কিছুই করতে পারবেনা এটা আমারা ভালো করেই জানি	None
3812	মারের উপর কোনো ঔষধ নাই পুলিশ ভাইয়েরা এদেরও ধরে পেটানো উচিতবিনা দাওয়াতে কেন আসবে তারা	Abusive
3813	একবারে ছুটি দিয়ে দিতেন	None
3814	এরদোয়ান আমেরিকার এজেন্ট মুসলিমদের অধিকার আদায়ের সচেষ্ট নন	None
3815	হিরু আলমের ইচ্ছার কোন শেষ নাই	None
3816	সব নায়কী রা শাকিব এর সাথে ছবি করতে চায় কেন	None
3817	এই ভারতের জন্য তাসকিন বোলিং একশেনে ধরা পড়ে লাইফের বিষাল খতি হয়ছে তাই ভারতে না যাওয়াই ভালো	Political Hate
3818	এসব কখা বাদ দেন	None
3819	ইউক্রেন ও তাইওয়ানদের মতো যুক্তরাষ্ট্রের চামচাদের কারনে আজ যুদ্ধের দামামা শুরু হয়েছে ইউক্রেন ও তাইওয়ানের ঘারে বসে যুক্তরাষ্ট্র এশিয়া মহাদেশের উপর দাদা গিরি করতে চায় আর ইউক্রেন ও তাইওয়ান দুটোই লোভে পরে নিজের সার্থকে হাচিল করতে গিয়ে আজ এ অবস্থা	Political Hate
3820	যারে আমি চাই তারে আমি পাই না যারে আমি পাই না তারেই আমি খুঁজি	None
3821	রাজশাহী সিটি কর্পোরেশন এ নিয়মিত গণশুনানির আয়োজন কারা হোক	None
3822	৭০ বাগ মানুষ যদি তোমাদের পাশে থাকে তাহলে নির্পক্ষ নির্বাচন দিতে ভয় পাও কেন কুলাংগার এর দল	Political Hate
3823	ভাইরে যতই খেলো হাতুর সিংকে এদেশ থেকে বিদায় কর কারণ সে শ্রীলংকার কোচ শ্রীলঙ্কাতে দায়িত্ব পালন করুক আমি আমাদের টিম ম্যারেজ ম্যানেজমেন্ট বলবো ইউরোপ থেকে আনা হোক ব্যাটিং কোচ বোলিং কোচ তাহলে ফিল্ডিং কোচ তাহলে আমরা সফলতা পাবো ইনশাসৃষ্টিকর্তা	Abusive
3824	চোরের মায়ের বড়ো গলা	Abusive
3825	কত বড় বেশরম	Abusive
3826	হুদাই বয়ান টাকা খাওয়ার নতুন ধান্দা হচ্ছে বিমান ভাড়া বেশি নেওয়া	Abusive
3827	ভাইন সুদেরে দরি জুতাপেটা করা দরকার	Profane
3828	আপনি আসলেই গ্রেট চঞ্চল চৌধুরী	None
3829	ব্যাকগ্রাউন্ডে এত বাজে ভাবে কে নিশ্বাস নিচ্ছে মনে হচ্ছে এই বুঝি মরে যাবে কি বাজে মনমানসিকতার মিউজিক চয়েজ	Abusive
3830	তাল গাছটা আওয়ামী লিগের নির্বাচন জতই হোকনা কেন	Political Hate
3831	ফেরাউন ২০০ বছর শাসন করার পর দুনিয়া থেকে যেতে হয়েছে কেউ ক্ষমতা ধরে রাখতে পারবেনা সবাইকে একদিন যেতে হবে ক্ষমতা ছেড়ে	None
3832	আমার মনে হয় সাংবাদিকরা এর সাথে জড়িত আছে	None
3833	শাকিব একটা সাওয়ার পিলিয়ার	Profane
3834	ভুয়া সংবাদ হয়ত এই খানে মুরগী আগেই ডিম দিয়ে চলে গেছে এখন মরগের দোষ	None
3835	ঢাকায় মানুষের গলা ফুল দিতে একেবারে পচা ইলিশ খাঁটি তারপর হচ্ছে না সিলভার কাপ মাছ দিয়ে ইলিশ মাছ বানায় খাই তোরা তো ডাকাত	Abusive
3836	কোন রায় আচার নাই এটি বাংলাদেশ	Abusive
3837	মালোশিয়া কি জামাই কি অবাব	None
3838	ঠান্ডা মিয়ার মেসে থাকার সময় কালকিনি উপজেলার মাহবুব নামের এক বড় ভাই ছিলেন কড়া বিএনপি সমর্থক কিন্তু আফসোস করে বলতেন এলাকায় সৈয়দ আবুল হোসেনের উন্নয়ন কাজের কারনে বিএনপি কে ভোট দিতে পারিনা	None
3839	জাতীর জনক এত ভাল আজ পয়ন্ত উনার ভাল কিছুই তো দেখলাম না	None
3840	একটা বান্দরের ছা মারা গেল ডক্টর জাফরুল্লাহ বলছিল না বানর থেকে মানুষ তৈরি তাই বানরের ছা মারা গেল	Abusive
3841	দেশের জনগণ পরিবর্তন চাই	None
3842	মোদির কথায় কেউ গলে যাবেন না এটা এনার রাজনৈতিক চাল বাংলাদেশ থেকে	Abusive
3843	নগদ এর এব্রাইছ এর জালায় সংবাদ দেখা ছেরে দিতে হবে	Abusive
3844	দাদার বউ এসব কি শুনাইলো	None
3845	ভারতে ২১ কিলোমিটার দীর্ঘ সেতু করতে বেয় হয় প্রায় ১৮ হাজার কোটি রুপি আর এর টুল দরা হয়েছে ২৫০ রুপি আর আমাদের দেশে ৬১৫ দীর্ঘ পদ্মা সেতু করতে ব্যয় হয়েছে প্রায় ৩০৪০ হাজার কোটি টাকা টুল দরা হয়েছে ২০০০ হাজারের মতো এই হলো আপনাদের উন্নয়ন	None
3846	সময় টিভি শিরোনাম ভালোভাবে দে সাংঘাতিক	Abusive
3847	উপস্থাপক সেই প্রিয় ভাই কোথায় তিনি না হলে উপস্থাপনা হয়ই না	None
3848	জিপিএস রাটার আছে তার পরেও কি করে হলো সংঘর্ষ এটা খুবই দুখজনক	None
3849	হে সৃষ্টিকর্তা আমাদের সিলেট বাসীকে রক্ষা করো	None
3850	আওয়ামী লীগ এর দালাল সময় টিভি	Abusive
3851	সময় টিভি নিরপেক্ষ সংবাদ প্রচার করা ছেড়ে দিয়েছে কেন	None
3852	ঘটনা ভাইরাল হইছে সংবাদ আছে	None
3853	দেশ এখন মন্দার দিকে চলছে এ সময় ইভিএম কিনে এতো খরচ করার কোন মানে হয় না ইভিএমে যান্ত্রিক ত্রুটির কারণে ভোট দিতে দেরি হয় এমনকি অনেকে ভোট দিতে পারে না কি স্বার্থ ইভিএম এজনগণ তো বুঝেনা ইভিএম এ ভোট দিতে কার স্বার্থ রক্ষায় এই প্রযুক্তির ব্যবহার করছে কমিশন	Political Hate
3854	দোয়া রইলো এরদোয়ানের জন্য	None
3855	জংগী ​আক্রমণ বলা যাবে না কিন্তু	None
3856	ঈদের মার্কেট এবার হলো না হয়ত	None
3857	ন্যাটো জোট যতই সম্প্রসারিত হোক রাশিয়া ও চীনেকে মোকাবেলা করতে পারেন না	None
3858	রিজার্ভ শেষ কে করেছে	None
3859	সবাই তো আওয়ামী লীগ	None
3860	সংখ্যা না বলি যে অবস্থা দেখছি লাখ পেরিয়ে কোথায় যাবে সৃষ্টিকর্তা ভালো জানেন	None
3861	যে সকল লোক সাহায্য করে প্রচার করে এরা আসলে কিছু লাভের আসায় করে থাকে	None
3862	ইসি এখনো সময় আছে আপনি কচু গাছের সাথে গলায় দড়ি দেন না হলে বিপদে পড়ে যাবেন দফা এক দাবি এক সুরেশ্বর হাসিনার পদত্যাগ নিরপেক্ষ নির্দলীয় তত্ত্বাবধায়ক সরকারের অধীনে আমরা বাংলাদেশের সাধারণ জনগণ সবাই নির্বাচন চাই দিতে হবে	Political Hate
3863	এই ডপ আর কতদিন মারবেন এটা বাদ দেন দিয়ে অন্য কিছু বলেন	Abusive
3864	পাকিস্তান না এলে বিশ্বকাপ বসে থাকবে না	None
3865	এমন টা দেখতে দেখতে হঠাৎ হয়তো পৃথিবী যুদ্ধ লেগে যেতে পারেসৃষ্টিকর্তা আমাদের দেশ সমগ্র মুসলিম উম্ মাহ হেফাজত করুকআমিন	None
3866	আফগানিস্তানই সঠিক পথে আছেন	None
3867	এখন এদের এত তারাতাড়ি ধরতে পারছে কিন্তু এই দেশে বসেই কত নোংরা জানোয়ারেরা আমার প্রিয় নবী হযরত মুহাম্মদ সা কে নিয়ে কটুক্তি করছে তাদের ধরতে বলার সময় বলছে তাদের ট্রেস করা যাচ্ছে না তথ্য প্রযুক্তি আর তখন কাজ করে না সৃষ্টিকর্তা হেদায়েত দান করুন	Profane
3868	আনোয়ার ভাই একজন সফল খামারিতিনি আমাদের দেশের গর্ব	None
3869	দিল্লির দাদা বৌদিদের আমাশা হলেও বোধ হয় তোরা ওষুধ পানি নিয়ে হাজির থাকবি শুয়োরের ছারা দেশটাকে ধ্বংসের দ্বারপ্রান্তে নিয়ে আসছে	Profane
3870	রাইট কথা বলছেন বাংলা দেশে সরকার শেখ হাসিনা	None
3871	শালা আগের পুরানো বাটপার	Profane
3872	জয় সাধু গুরু	None
3873	সাংবাদিকদের উচিত একে নিয়ে অনুসন্ধানী রিপোর্ট করা কারন বাংলাদেশে এমন প্রায়ই ঘটেছে ঘটনা সত্যি কিনা ডাক্তারী পরিক্ষা আরো ভিবিন্ন ভাবে জাচাই করা উচিত	None
3874	এটা হাসিনা র নতুন খেলা	Political Hate
3875	রঙ্গিল সাড়ি হাছিনার সালমান এফ সাথে লিকা হলো বুঝি	Abusive
3876	আলহামদুলিল্লাহ্দেশের ভালো কিছু হলে মন ভরে যায়	None
3877	আসলে একজন এর পিছনের গল্প অনেক যা আমরা জানি না	None
3878	এভাবেই হাসিনা গৃহহীনদের গৃহ দিচ্ছে বল জয় বাংলা	None
3879	নিজের পরিবার ছেলে মেয়েদের ভবিষ্যত নিয়ে ভাবুন	None
3880	শালা ডাক্তার দালাল এখন মানুষ বোকা খুবই কম আছেআরেক শালা তো আছে নগদের দালালি করতে বেশ্যার ছা ডাইরেক্ট সিগরেট কোম্পানি সহ বন্ধ করে দে	Abusive
